Time,ENSO val
Nov-85,-0.3
Dec-85,-0.4
Jan-86,-0.5
Feb-86,-0.5
Mar-86,-0.3
Apr-86,-0.2
May-86,-0.1
Jun-86,0
Jul-86,0.2
Aug-86,0.4
Sep-86,0.7
Oct-86,0.9
Nov-86,1.1
Dec-86,1.2
Jan-87,1.2
Feb-87,1.2
Mar-87,1.1
Apr-87,0.9
May-87,1
Jun-87,1.2
Jul-87,1.5
Aug-87,1.7
Sep-87,1.6
Oct-87,1.5
Nov-87,1.3
Dec-87,1.1
Jan-88,0.8
Feb-88,0.5
Mar-88,0.1
Apr-88,-0.3
May-88,-0.9
Jun-88,-1.3
Jul-88,-1.3
Aug-88,-1.1
Sep-88,-1.2
Oct-88,-1.5
Nov-88,-1.8
Dec-88,-1.8
Jan-89,-1.7
Feb-89,-1.4
Mar-89,-1.1
Apr-89,-0.8
May-89,-0.6
Jun-89,-0.4
Jul-89,-0.3
Aug-89,-0.3
Sep-89,-0.2
Oct-89,-0.2
Nov-89,-0.2
Dec-89,-0.1
Jan-90,0.1
Feb-90,0.2
Mar-90,0.3
Apr-90,0.3
May-90,0.3
Jun-90,0.3
Jul-90,0.3
Aug-90,0.4
Sep-90,0.4
Oct-90,0.3
Nov-90,0.4
Dec-90,0.4
Jan-91,0.4
Feb-91,0.3
Mar-91,0.2
Apr-91,0.3
May-91,0.5
Jun-91,0.6
Jul-91,0.7
Aug-91,0.6
Sep-91,0.6
Oct-91,0.8
Nov-91,1.2
Dec-91,1.5
Jan-92,1.7
Feb-92,1.6
Mar-92,1.5
Apr-92,1.3
May-92,1.1
Jun-92,0.7
Jul-92,0.4
Aug-92,0.1
Sep-92,-0.1
Oct-92,-0.2
Nov-92,-0.3
Dec-92,-0.1
Jan-93,0.1
Feb-93,0.3
Mar-93,0.5
Apr-93,0.7
May-93,0.7
Jun-93,0.6
Jul-93,0.3
Aug-93,0.3
Sep-93,0.2
Oct-93,0.1
Nov-93,0
Dec-93,0.1
Jan-94,0.1
Feb-94,0.1
Mar-94,0.2
Apr-94,0.3
May-94,0.4
Jun-94,0.4
Jul-94,0.4
Aug-94,0.4
Sep-94,0.6
Oct-94,0.7
Nov-94,1
Dec-94,1.1
Jan-95,1
Feb-95,0.7
Mar-95,0.5
Apr-95,0.3
May-95,0.1
Jun-95,0
Jul-95,-0.2
Aug-95,-0.5
Sep-95,-0.8
Oct-95,-1
Nov-95,-1
Dec-95,-1
Jan-96,-0.9
Feb-96,-0.8
Mar-96,-0.6
Apr-96,-0.4
May-96,-0.3
Jun-96,-0.3
Jul-96,-0.3
Aug-96,-0.3
Sep-96,-0.4
Oct-96,-0.4
Nov-96,-0.4
Dec-96,-0.5
Jan-97,-0.5
Feb-97,-0.4
Mar-97,-0.1
Apr-97,0.3
May-97,0.8
Jun-97,1.2
Jul-97,1.6
Aug-97,1.9
Sep-97,2.1
Oct-97,2.3
Nov-97,2.4
Dec-97,2.4
Jan-98,2.2
Feb-98,1.9
Mar-98,1.4
Apr-98,1
May-98,0.5
Jun-98,-0.1
Jul-98,-0.8
Aug-98,-1.1
Sep-98,-1.3
Oct-98,-1.4
Nov-98,-1.5
Dec-98,-1.6
Jan-99,-1.5
Feb-99,-1.3
Mar-99,-1.1
Apr-99,-1
May-99,-1
Jun-99,-1
Jul-99,-1.1
Aug-99,-1.1
Sep-99,-1.2
Oct-99,-1.3
Nov-99,-1.5
Dec-99,-1.7
Jan-00,-1.7
Feb-00,-1.4
Mar-00,-1.1
Apr-00,-0.8
May-00,-0.7
Jun-00,-0.6
Jul-00,-0.6
Aug-00,-0.5
Sep-00,-0.5
Oct-00,-0.6
Nov-00,-0.7
Dec-00,-0.7
Jan-01,-0.7
Feb-01,-0.5
Mar-01,-0.4
Apr-01,-0.3
May-01,-0.3
Jun-01,-0.1
Jul-01,-0.1
Aug-01,-0.1
Sep-01,-0.2
Oct-01,-0.3
Nov-01,-0.3
Dec-01,-0.3
Jan-02,-0.1
Feb-02,0
Mar-02,0.1
Apr-02,0.2
May-02,0.4
Jun-02,0.7
Jul-02,0.8
Aug-02,0.9
Sep-02,1
Oct-02,1.2
Nov-02,1.3
Dec-02,1.1
Jan-03,0.9
Feb-03,0.6
Mar-03,0.4
Apr-03,0
May-03,-0.3
Jun-03,-0.2
Jul-03,0.1
Aug-03,0.2
Sep-03,0.3
Oct-03,0.3
Nov-03,0.4
Dec-03,0.4
Jan-04,0.4
Feb-04,0.3
Mar-04,0.2
Apr-04,0.2
May-04,0.2
Jun-04,0.3
Jul-04,0.5
Aug-04,0.6
Sep-04,0.7
Oct-04,0.7
Nov-04,0.7
Dec-04,0.7
Jan-05,0.6
Feb-05,0.6
Mar-05,0.4
Apr-05,0.4
May-05,0.3
Jun-05,0.1
Jul-05,-0.1
Aug-05,-0.1
Sep-05,-0.1
Oct-05,-0.3
Nov-05,-0.6
Dec-05,-0.8
Jan-06,-0.9
Feb-06,-0.8
Mar-06,-0.6
Apr-06,-0.4
May-06,-0.1
Jun-06,0
Jul-06,0.1
Aug-06,0.3
Sep-06,0.5
Oct-06,0.8
Nov-06,0.9
Dec-06,0.9
Jan-07,0.7
Feb-07,0.2
Mar-07,-0.1
Apr-07,-0.3
May-07,-0.4
Jun-07,-0.5
Jul-07,-0.6
Aug-07,-0.8
Sep-07,-1.1
Oct-07,-1.3
Nov-07,-1.5
Dec-07,-1.6
Jan-08,-1.6
Feb-08,-1.5
Mar-08,-1.3
Apr-08,-1
May-08,-0.8
Jun-08,-0.6
Jul-08,-0.4
Aug-08,-0.2
Sep-08,-0.2
Oct-08,-0.4
Nov-08,-0.6
Dec-08,-0.7
Jan-09,-0.8
Feb-09,-0.8
Mar-09,-0.6
Apr-09,-0.3
May-09,0
Jun-09,0.3
Jul-09,0.5
Aug-09,0.6
Sep-09,0.7
Oct-09,1
Nov-09,1.4
Dec-09,1.6
Jan-10,1.5
Feb-10,1.2
Mar-10,0.8
Apr-10,0.4
May-10,-0.2
Jun-10,-0.7
Jul-10,-1
Aug-10,-1.3
Sep-10,-1.6
Oct-10,-1.6
Nov-10,-1.6
Dec-10,-1.6
Jan-11,-1.4
Feb-11,-1.2
Mar-11,-0.9
Apr-11,-0.7
May-11,-0.6
Jun-11,-0.4
Jul-11,-0.5
Aug-11,-0.6
Sep-11,-0.8
Oct-11,-1
Nov-11,-1.1
Dec-11,-1
Jan-12,-0.9
Feb-12,-0.7
Mar-12,-0.6
Apr-12,-0.5
May-12,-0.3
Jun-12,0
Jul-12,0.2
Aug-12,0.4
Sep-12,0.4
Oct-12,0.3
Nov-12,0.1
Dec-12,-0.2
Jan-13,-0.4
Feb-13,-0.4
Mar-13,-0.3
Apr-13,-0.3
May-13,-0.4
Jun-13,-0.4
Jul-13,-0.4
Aug-13,-0.3
Sep-13,-0.3
Oct-13,-0.2
Nov-13,-0.2
Dec-13,-0.3
Jan-14,-0.4
Feb-14,-0.5
Mar-14,-0.3
Apr-14,0
May-14,0.2
Jun-14,0.2
Jul-14,0
Aug-14,0.1
Sep-14,0.2
Oct-14,0.5
Nov-14,0.6
Dec-14,0.7
